afcd_code,name,kcal_per_100g,protein_g_per_100g,fat_g_per_100g,carbs_g_per_100g,fibre_g_per_100g
F002258,"Cardamom seed, dried, ground",295.4,10.8,6.7,34.4,28.0
F002963,"Cinnamon, dried, ground",240.0,4.0,1.2,27.5,53.1
F002893,"Chilli (chili), dried, ground",292.5,12.3,14.3,12.9,34.2
F002970,"Cloves, dried, ground",332.0,6.0,13.0,31.6,33.9
F003190,"Coriander seed, dried, ground",321.2,12.4,17.8,8.4,41.9
F003327,"Cumin (cummin) seed, dried, ground",425.9,17.8,22.3,33.7,10.5
F003337,Curry powder,294.2,14.3,14.0,2.8,53.2
F003821,"Fenugreek seed, dried",258.1,23.0,6.4,4.2,47.6
F004210,"Ginger, dried, ground",333.9,9.0,4.2,57.5,14.1
F005972,Mustard powder,547.1,29.4,39.5,17.2,5.0
F006118,"Nutmeg, dried, ground",499.5,5.8,36.3,28.5,20.8
F006281,"Oregano, dried",262.0,9.0,4.3,26.4,42.5
F006316,"Paprika, dry powder",313.3,14.1,12.9,19.1,34.9
F006618,"Pepper, black, ground",276.3,10.4,3.3,38.6,25.3
F007715,"Rosemary, dried",314.1,4.9,15.2,20.4,42.6
F007726,"Sage, dried",315.5,10.6,12.8,20.4,40.3
F009160,"Thyme, dried, ground",282.5,9.1,7.4,26.9,37.0
F009335,"Turmeric, dried, ground",291.3,9.7,3.2,44.4,22.7
F007870,"Salt substitute, potassium chloride",0.0,0.0,0.0,0.0,0.0
F007878,"Salt, table, iodised",0.0,0.0,0.0,0.0,0.0
F007879,"Salt, table, non-iodised",0.0,0.0,0.0,0.0,0.0
F008933,"Stock, dry powder or cube",215.1,11.3,8.9,22.5,0.0
F008936,"Stock, liquid, all flavours (except fish), prepared from commercial powder or cube",4.3,0.2,0.2,0.4,0.0
F009072,"Taco seasoning mix, chilli-based",319.1,6.2,4.8,58.1,8.7
F000247,"Baking powder, dry powder",87.0,0.8,0.3,19.8,0.4
F000248,"Baking soda (bicarbonate), dry powder",0.0,0.0,0.0,0.0,0.0
F003250,"Cream of tartar, dry powder",0.5,0.0,0.0,0.0,0.2
F005158,"Lecithin, soy, granules",626.2,6.0,62.4,4.9,15.1
F004196,"Gelatine, all types",346.3,84.4,0.4,0.0,0.0
F009351,"Vanilla, artificial or imitation",55.2,0.0,0.0,14.4,0.0
F009350,Vanilla bean extract,287.5,0.1,0.1,12.6,0.0
F009606,"Yeast, dry powder",269.1,36.4,5.0,6.3,26.9
F000996,"Beer, high alcohol (5% v/v & above)",41.6,0.5,0.0,2.1,0.0
F000994,"Beer, full strength (alcohol 4-4.9% v/v)",36.3,0.4,0.0,2.3,0.0
F000995,"Beer, full strength (alcohol 4-4.9% v/v), carbohydrate modified",30.1,0.3,0.0,1.0,0.0
F001006,"Beer, mid-strength (alcohol 3-3.9% v/v)",30.6,0.3,0.0,2.2,0.0
F001004,"Beer, light (alcohol 1-2.9% v/v)",23.9,0.2,0.0,2.2,0.0
F000050,"Alcoholic beverage, spirit, ~30% v/v, all (Brandy, Gin, Rum, Vodka and Whisky), cooked",72.2,0.0,0.0,0.3,0.0
F000051,"Alcoholic beverage, spirit, ~40% v/v, all (Brandy, Gin, Rum, Vodka and Whisky)",213.2,0.0,0.0,0.1,0.0
F002955,"Cider, apple (alcohol ~4-5% v/v)",50.0,0.0,0.0,5.6,0.0
F005701,Mirin,168.7,0.3,0.0,26.6,0.0
F009571,"Wine, red",80.1,0.2,0.0,0.2,0.0
F009572,"Wine, red, cabernet sauvignon",79.3,0.3,0.0,0.2,0.0
F009574,"Wine, red, merlot",78.9,0.3,0.0,0.4,0.0
F009575,"Wine, red, pinot noir",76.7,0.2,0.0,0.2,0.0
F009577,"Wine, red, shiraz",81.7,0.2,0.0,0.2,0.0
F009578,"Wine, red, sparkling",80.8,0.2,0.0,2.0,0.0
F009573,"Wine, red, cooked",28.7,0.3,0.0,0.2,0.0
F009579,"Wine, rose",69.1,0.2,0.0,0.7,0.0
F009583,"Wine, white, sauvignon blanc",70.7,0.2,0.0,0.1,0.0
F009584,"Wine, white, semillon",64.5,0.2,0.0,0.2,0.0
F009582,"Wine, white, chardonnay",74.1,0.3,0.0,0.3,0.0
F009586,"Wine, white, riesling",69.8,0.2,0.0,0.4,0.0
F009581,"Wine, white",71.9,0.3,0.0,0.2,0.0
F009580,"Wine, white, cooked",25.6,0.2,0.0,0.3,0.0
F009590,"Wine, white, sparkling",73.1,0.2,0.0,1.0,0.0
F009592,"Wine, white, sweet dessert style",118.8,0.4,0.0,14.7,0.0
F009566,"Wine, fortified, port",143.4,0.2,0.0,12.4,0.0
F009567,"Wine, fortified, sherry, dry style (~1% sugars)",104.0,0.1,0.0,1.2,0.0
F009568,"Wine, fortified, sherry, sweet style (~11% sugars)",137.9,0.2,0.0,11.1,0.0
F001029,"Beverage base, chocolate flavour, added vitamins & minerals (Milo)",385.0,12.4,9.9,60.1,6.8
F001032,"Beverage base, chocolate flavour, unfortified (Nesquik brand)",376.2,5.3,2.8,83.2,5.8
F001036,"Beverage base, drinking chocolate, unfortified",360.4,5.6,4.8,76.3,1.5
F002980,Cocoa powder,319.1,22.1,15.2,10.5,27.7
F001068,"Beverage, chocolate flavour, from Milo powder, with regular fat cow's milk",93.0,4.1,4.0,10.2,0.6
F001073,"Beverage, chocolate flavour, from Nesquik powder, with regular fat cow's milk",81.7,3.4,3.4,9.7,0.3
F001064,"Beverage, chocolate flavour, from drinking chocolate, with regular fat cow's milk",84.8,3.5,3.5,10.2,0.1
F010642,"Protein powder, hemp seed based",334.6,35.8,13.5,4.4,27.8
F007493,"Protein powder, whey based, protein >70%, unfortified",374.8,85.0,2.2,1.6,1.8
F009818,"Protein powder, whey based, protein >70%, unfortified, prepared with water",62.4,14.2,0.4,0.3,0.3
F003060,"Coffee, instant, dry powder or granules",140.5,18.0,0.3,3.6,20.6
F003061,"Coffee, instant, dry powder or granules, decaffeinated",140.5,18.0,0.3,3.6,20.6
F003014,"Coffee mix, with beverage whitener & sugar, dry powder",393.2,13.1,12.7,56.1,3.6
F003084,"Coffee, prepared from coffee mix with sugar & whitener, no added milk",19.6,0.6,0.6,2.8,0.2
F003017,"Coffee, black, from instant coffee powder",1.9,0.2,0.0,0.2,0.1
F003018,"Coffee, black, from instant coffee powder, decaffeinated",1.9,0.2,0.0,0.2,0.1
F003041,"Coffee, espresso, from ground coffee beans",9.6,1.7,0.3,0.0,0.0
F003065,"Coffee, long black, from ground coffee beans",1.9,0.3,0.1,0.0,0.0
F009796,"Coffee, flat white/latte/cappuccino, from ground coffee beans, with regular fat cow's milk",46.8,2.8,2.6,3.4,0.0
F003130,"Cordial base, 25% citrus fruit juice, regular",144.8,0.0,0.0,37.3,0.0
F003135,"Cordial base, 40% citrus fruit juice, regular",157.5,0.2,0.0,40.2,0.0
F003128,"Cordial base, blackcurrant juice, regular",174.7,0.1,0.0,45.0,0.0
F009928,"Cordial base, fruit juice/flavours, intense sweetened or diet",29.4,0.0,0.0,7.1,0.0
F003158,"Cordial, 25% citrus fruit juice, regular, recommended dilution",33.9,0.0,0.0,8.7,0.0
F003160,"Cordial, 40% citrus fruit juice, regular, recommended dilution",36.8,0.0,0.0,9.4,0.0
F003156,"Cordial, blackcurrant juice, regular, recommended dilution",36.1,0.0,0.0,9.3,0.0
F009927,"Cordial, fruit juice/flavours, recommended dilution",25.6,0.0,0.0,6.5,0.0
F009931,"Cordial, fruit juice/flavours, intense sweetened or diet, recommended dilution",2.9,0.0,0.0,0.7,0.0
F004663,"Juice, apple, commercial, added vitamin C",28.9,0.2,0.0,7.0,0.2
F004656,"Juice, apple & blackcurrant, commercial",38.7,0.2,0.0,9.3,0.0
F004726,"Juice, lemon",26.5,0.6,0.1,1.8,2.0
F004729,"Juice, lime",28.0,0.8,0.1,1.2,3.6
F004739,"Juice, orange, commercial",32.0,0.8,0.0,6.8,0.3
F004731,"Juice, orange & mango, commercial",34.9,0.6,0.0,7.7,0.2
F010307,"Juice, vegetable blend, commercial",17.0,0.9,0.0,2.7,0.6
F004099,"Fruit drink, apple juice",32.7,0.1,0.0,8.2,0.0
F004101,"Fruit drink, blackcurrant, commercial",38.2,0.2,0.0,9.8,0.0
F004102,"Fruit drink, cranberry",47.1,0.0,0.0,12.2,0.1
F004114,"Fruit drink, orange juice",39.2,0.2,0.0,9.6,0.1
F008402,"Soft drink, cola flavour",49.2,0.0,0.2,12.3,0.0
F008403,"Soft drink, cola flavour, decaffeinated",49.2,0.0,0.2,12.3,0.0
F008404,"Soft drink, cola flavour, intense sweetened or diet",0.0,0.0,0.0,0.0,0.0
F008405,"Soft drink, cola flavour, intense sweetened or diet, decaffeinated",0.0,0.0,0.0,0.0,0.0
F008411,"Soft drink, dry ginger ale or ginger beer, regular",37.8,0.0,0.0,9.8,0.0
F008438,"Soft drink, fruit flavours",33.9,0.0,0.0,8.8,0.0
F008460,"Soft drink, tonic water",33.9,0.0,0.0,8.8,0.0
F008439,"Soft drink, fruit flavours, intense sweetened or diet",0.2,0.0,0.0,0.0,0.0
F008461,"Soft drink, tonic water, intense sweetened or diet",0.2,0.0,0.0,0.0,0.0
F008421,"Soft drink, energy drink, Red Bull",43.5,0.1,0.0,10.8,0.0
F008424,"Soft drink, energy drink, V",43.5,0.1,0.0,10.8,0.0
F009795,"Kombucha, flavoured, added juice or intense sweeteners",6.7,0.0,0.0,0.9,0.1
F009125,"Tea, regular, black, brewed from leaf or teabags, without milk",0.2,0.1,0.0,0.0,0.0
F009115,"Tea, black, brewed from leaf or teabags, decaffeinated",0.2,0.1,0.0,0.0,0.0
F009117,"Tea, green, plain, without milk",1.0,0.2,0.0,0.0,0.0
F005696,"Mineral water, natural, unflavoured",0.0,0.0,0.0,0.0,0.0
F005694,"Mineral water, citrus flavoured",15.1,0.0,0.0,3.7,0.0
F009516,"Water, bottled, still",0.0,0.0,0.0,0.0,0.0
F008377,"Water, soda",0.0,0.0,0.0,0.0,0.0
F009527,"Water, tap",0.0,0.0,0.0,0.0,0.0
F001115,"Biscuit, savoury, corn cake, plain, salted",369.7,9.8,3.0,71.5,5.9
F001152,"Biscuit, savoury, rice cracker, plain",388.6,7.0,4.3,78.8,0.9
F009833,"Biscuit, savoury, rice cracker, added vegetable powder",394.6,6.6,7.4,73.8,2.0
F001147,"Biscuit, savoury, rice cake, from brown rice, plain",383.1,8.8,3.5,76.3,3.5
F001151,"Biscuit, savoury, rice cracker, flavoured (excluding seaweed)",393.4,7.1,6.7,74.1,1.5
F001153,"Biscuit, savoury, rice cracker, seaweed flavoured",358.5,9.6,1.2,75.3,1.6
F001118,"Biscuit, savoury, from rye flour, crispbread",324.1,8.8,1.3,60.6,16.5
F009832,"Biscuit, savoury, seed based",572.4,20.1,49.6,6.0,14.6
F001123,"Biscuit, savoury, from white wheat flour, flaky cracker style",494.0,11.5,20.7,63.6,3.0
F001126,"Biscuit, savoury, from white wheat flour, plain snack cracker style",491.9,8.1,20.7,66.3,3.4
F001129,"Biscuit, savoury, from white wheat flour, Salada style",426.6,9.2,14.2,63.1,3.6
